날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-05-14,37950,"상승
				400",37700,38200,37300,1623377,37510.0,38320.0,40578.333333333336,45.156611788027085,-738.9344421517599,-783.7003566448997,44.7659144931398,2177946.85,0.7453703473066847,False,False,False,False
2025-05-15,37650,"하락
				300",37750,37850,37250,1346122,37640.0,38252.5,40560.0,43.69290816446683,-714.6761500586872,-769.8955153276572,55.21936526897002,2197128.4,0.6126733421678952,False,False,False,False
2025-05-16,37400,"하락
				250",37650,37800,37300,912660,37730.0,38180.0,40532.5,42.457833904429805,-707.4689280477687,-757.4101978716795,49.94126982391083,2190267.1,0.41668890520247504,False,False,False,False
2025-05-19,36450,"하락
				950",37150,37200,36350,1389926,37400.0,38115.0,40490.833333333336,38.055637630894815,-769.543395953202,-759.8368374879841,-9.706558465217881,2190456.9,0.6345370228466947,False,False,False,False
2025-05-20,36550,"상승
				100",36600,36850,36300,1680015,37200.0,38032.5,40445.0,38.7752517146392,-801.4303050420422,-768.1555309987957,-33.27477404324645,2232160.7,0.7526407036912709,False,False,False,False
2025-05-21,37450,"상승
				900",36700,37950,36700,1327371,37100.0,37955.0,40406.666666666664,44.97129384519584,-745.4849454388022,-763.6214138867971,18.136468447994844,2256474.9,0.5882498404923538,False,False,False,True
2025-05-22,37250,"하락
				200",37250,37650,36950,884129,37020.0,37872.5,40362.5,43.90788076093717,-709.1119720124625,-752.7195255119302,43.60755349946771,2277445.05,0.3882109032663599,False,False,False,False
2025-05-23,37400,"상승
				150",37250,37650,37000,1081143,37020.0,37782.5,40326.666666666664,44.959111376550716,-660.56776808,-734.2891740255442,73.72140594554423,2269133.45,0.476456331821295,False,False,False,False
2025-05-26,39000,"상승
				1,600",37400,39000,37100,2676578,37530.0,37762.5,40314.166666666664,54.70940298356895,-487.37139442260377,-684.9056181049561,197.53422368235238,2368569.75,1.1300397634479626,False,False,False,False
2025-05-27,40950,"상승
				1,950",38700,41000,38550,3448700,38410.0,37837.5,40295.0,63.25320133412816,-190.56658435572172,-586.0378113551093,395.47122699938757,2516141.65,1.370630306127638,False,True,False,False
2025-05-28,41700,"상승
				750",40950,42200,40250,2787745,39260.0,38025.0,40249.166666666664,65.91637824285706,103.97355554688693,-448.03553797471005,552.0090935215969,1827415.05,1.525512772809877,True,False,False,False
2025-05-29,44000,"상승
				2,300",41550,44250,41550,4644875,40610.0,38322.5,40263.333333333336,72.4987718922532,517.02952207403,-255.02252596496206,772.052048038992,1970690.35,2.3569786090442872,True,False,False,False
2025-05-30,42700,"하락
				1,300",43650,43850,42650,3539065,41670.0,38535.0,40276.666666666664,64.87270955165474,731.0530910389061,-57.80740256418842,788.8604936030946,2058290.5,1.7194195863023223,True,False,False,False
